Gene.Name	Gene.ID
AT1G51210	AT1G51210
AT1G68140	AT1G68140
SBT1.2	AT1G04110
AT1G21900	AT1G21900
WDL7	AT1G70950
NRT2.2	AT1G08100
AT1G53200	AT1G53200
BHLH13	AT1G01260
NA	NA
RSH3	AT1G54130
AT1G32130	AT1G32130
AT1G09967	AT1G09967
GLP4	AT1G09560
ABCG25	AT1G71960
AT1G74840	AT1G74840
UBP1B	AT1G17370
AT1G72650	AT1G72650
SGR2	AT1G31480
APA1	AT1G11910
AT1G34420	AT1G34420
SPPA	AT1G73990
AT1G60095	AT1G60095
BHLH125	AT1G62975
HLL	AT1G17560
AT1G17570	AT1G17570
AT1G61340	AT1G61340
AT1G04043	AT1G04043
AT1G24080	AT1G24080
DTX9	AT1G66760
AT1G67020	AT1G67020
AT1G07870	AT1G07870
AT1G69030	AT1G69030
AT1G75400	AT1G75400
AT1G80120	AT1G80120
AT1G12990	AT1G12990
TMN6	AT1G55130
AT1G75060	AT1G75060
RPS7A	AT1G48830
AT1G48840	AT1G48840
ARF5	AT1G19850
CML39	AT1G76640
AT1G22510	AT1G22510
AT1G30757	AT1G30757
PCFS1	AT1G66500
AT1G66510	AT1G66510
AT1G06473	AT1G06473
AT1G18740	AT1G18740
AT1G04150	AT1G04150
MTERF15	AT1G74120
AT1G07120	AT1G07120
CHLP	AT1G74470
AT1G03030	AT1G03030
AT1G10280	AT1G10280
NA	NA
ERF118	AT1G68550
NPF5.14	AT1G72120
SKP2A	AT1G21410
AT1G30845	AT1G30845
AT1G02705	AT1G02705
CYP97A3	AT1G31800
RTNLB22	AT1G78895
VHA-A	AT1G78900
AT59	AT1G14420
AT1G34630	AT1G34630
CSN5A	AT1G71230
AT1G09180	AT1G09180
AT1G11230	AT1G11230
MYB3	AT1G22640
LRK10L-1.1	AT1G25390
UDP-GALT2	AT1G76670
SPI	AT1G03060
COR413IM2	AT1G29390
ABCC5	AT1G04120
AT1G49460	AT1G49460
CPK11	AT1G35670
GSTU17	AT1G10370
ABF2	AT1G45249
AT1G21590	AT1G21590
GIP1L	AT1G55820
AT1G03150	AT1G03150
